selector_id,persona_name,persona_pressure,n_valid,n_positive_true_gap,certification_rate_given_positive_true_gap,margin_positive_rate_given_positive_true_gap,mean_cert_margin_given_positive_true_gap,median_cert_margin_given_positive_true_gap,mean_radius_sum,mean_gap_est
free_form_random,neutral,0.0,10,9,0.0,0.0,-65.72484751082173,-64.35395279559712,73.6588608919249,6.9018125
free_form_random,risk_seeking,0.6,6,6,0.0,0.0,-66.65656705082323,-65.71977174296589,74.04741340498988,7.3908463541666665
free_form_random,risk_seeking,0.85,4,4,0.0,0.0,-64.40011912701767,-64.62432913841687,72.70345897076767,8.303339843749999
free_form_random,loss_averse,0.6,2,1,0.0,0.0,-71.70968937501061,-71.70968937501061,78.55815566093199,4.6798828125
free_form_random,loss_averse,0.85,1,0,,,,,76.04685632185335,0.0
free_form_random,build_preserving,0.8,10,9,0.0,0.0,-65.72484751082173,-64.35395279559712,73.6588608919249,6.9018125
grounded_cap_low,neutral,0.0,20,7,0.0,0.0,-72.75219379134148,-73.74446840745186,74.312524178412,1.36425390625
grounded_cap_low,risk_seeking,0.6,19,12,0.0,0.0,-71.34098263926886,-72.290273983679,74.31028012793044,2.6644860197368425
grounded_cap_low,risk_seeking,0.85,19,13,0.0,0.0,-69.8924705851372,-69.05308376370641,74.42449741885443,3.2346381578947367
grounded_cap_low,loss_averse,0.6,20,5,0.0,0.0,-72.36830274192027,-74.05088074387109,74.3228389811701,0.9828046875000002
grounded_cap_low,loss_averse,0.85,20,2,0.0,0.0,-71.58572270948505,-71.58572270948505,74.23343704478809,0.02176953124999991
grounded_cap_low,build_preserving,0.8,20,7,0.0,0.0,-72.75219379134148,-73.74446840745186,74.312524178412,1.36425390625
grounded_cap_mid,neutral,0.0,20,3,0.0,0.0,-76.36155517037737,-75.58937145533368,74.30146465267276,0.0359257812500001
grounded_cap_mid,risk_seeking,0.6,20,11,0.0,0.0,-72.12039000158505,-73.21781545642641,74.51040205250706,2.0793085937500004
grounded_cap_mid,risk_seeking,0.85,20,13,0.0,0.0,-70.73184541348692,-69.89932869038246,74.60365628441397,3.01954296875
grounded_cap_mid,loss_averse,0.6,20,2,0.0,0.0,-77.67009855184011,-77.67009855184011,74.29652726095999,0.05306640625000005
grounded_cap_mid,loss_averse,0.85,20,2,0.0,0.0,-71.58572270948505,-71.58572270948505,74.23343704478809,0.02176953124999991
grounded_cap_mid,build_preserving,0.8,20,4,0.0,0.0,-73.56193327440779,-74.66691993139277,74.30146465267276,0.1859257812500001
grounded_cap_high,neutral,0.0,20,2,0.0,0.0,-74.66691993139277,-74.66691993139277,74.27444237639159,0.0
grounded_cap_high,risk_seeking,0.6,20,11,0.0,0.0,-72.17006303799795,-73.21781545642641,74.49365972253416,2.0352460937500005
grounded_cap_high,risk_seeking,0.85,20,13,0.0,0.0,-70.73184541348692,-69.89932869038246,74.60365628441397,3.01954296875
grounded_cap_high,loss_averse,0.6,20,1,0.0,0.0,-75.58937145533368,-75.58937145533368,74.2695049846788,0.017140624999999955
grounded_cap_high,loss_averse,0.85,20,2,0.0,0.0,-71.58572270948505,-71.58572270948505,74.23343704478809,0.02176953124999991
grounded_cap_high,build_preserving,0.8,20,4,0.0,0.0,-73.56193327440779,-74.66691993139277,74.30146465267276,0.1859257812500001
